"rowid","sentiment","service","recommendation","intent","review"
567,"Positive","Technical Issues","Investigate issue and provide solution","Issue","Do not redeem at 296A BB if you can, service is poor and food is not nice. Saw the staff been rude to the customer in front."
568,"Negative","Technical Issues","Investigate and resolve technical issues","Issue","As the title suggest.. contacted line chat, no response"
569,"Positive","Technical Issues","Investigate issue promptly","Issue","Highlighted the bug and was told will resolve in 1 week. Thats long for a bank app"
570,"Negative","Technical Issues","Investigate and fix reported bug","Feedback","Hiiii 5 stars for the app, but can NTUC restock their rice faster please?Sleek app"
571,"Negative","Technical Issues","Investigate technical issue","Issue","Don’t bother, the vouchers are used, and there are loads of suspicious stuff on here, read the other reviews. I doubt they are backed by Stan Charted, seriously"
572,"Negative","Technical Issues","Investigate technical issue immediately","Issue","Hi how do I reach customer service. If I call scb , will they entertain me ?"
573,"Negative","Technical Issues","Investigate app crashes prioritize bug fixes","Feedback","Very slow and not helpful."
574,"Positive","Technical Issues","Thank user for feedback continue improving app","Feedback","because it’s very cool"
575,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Applied the saving accounts and no response since then."
576,"Positive","Technical Issues","Thank user for feedback consider implementing suggested feature","Feedback","Unable to fully display the screen content on iPhone se"
577,"Negative","Technical Issues","Investigate app crashes and improve stability","Feedback","Even genshin impact loads the game's world quicker than this card app lol"
578,"Positive","Technical Issues","Investigate issue promptly.","Issue","To use"
579,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","Very useless app"
580,"Negative","Technical Issues","Investigate improve app stability","Feedback","Terrible app. Led to the app for application but despite multiple attempts, can’t verify though Singpass."
581,"Neutral","Technical Issues","Investigate technical issue gather user feedback","Feedback","currently there are 3 digital banks. gxs offered 3.48% (to be reduced to 2.68% soon) just for parking your money. maribank offered 2.5%, also just for parking your money. trust bank offered 1.5% for non members and 2% only after you have made 5 transactions. this bank is the joker among digital banks."
582,"Negative","Technical Issues","Investigate technical issue prioritize fix","Issue","Very good functions"
583,"Negative","Technical Issues","Investigate technical issue urgently","Issue","Down for a few days but not yet solved. Unexpected for this."
584,"Positive","Technical Issues","Thank user for feedback ask for more details","Feedback","this is good"
585,"Negative","Technical Issues","Investigate tech issue gather logs","Feedback","So far the app itself is
Much smoother than DBS/POSB"
586,"Negative","Technical Issues","Investigate technical issue","Issue","I believe I have waited for more than a month… how efficient is this?"
587,"Negative","Technical Issues","Identify diagnose and resolve technical glitch","Issue","Very easy to use! Thanks"
588,"Negative","Technical Issues","Investigate technical glitch","Issue","Please dont launch the app if you are not ready!!"
589,"Positive","Technical Issues","Thank user for feedback request more details.","Feedback","Good offers, I got free grocery for this week, yay!"
590,"Negative","Technical Issues","Investigate technical issue gather logs","Feedback","As titled"
591,"Neutral","Technical Issues","Investigate issue provide update","Issue","Thanks to trust"
592,"Positive","Technical Issues","Investigate issue promptly","Issue","I was referred to apply this app but  after 10days still appeared pending, never see such slower approval"
593,"Negative","Technical Issues","Investigate and resolve technical issue","Issue","What’s with 🤷🏻‍♂️all those emojis clogging up your 📩📮📨emails and text messages. Try to look more 🕵🏻‍♂️🕵️👩‍🏫👨‍🏫professional! 😩😫😖😣🍎🏃😰😥⌛️😥💨🤮"
594,"Negative","Technical Issues","Investigate app crash issue","Issue","cool"
595,"Positive","Technical Issues","Investigate and resolve issue promptly","Issue","many voucher to use"
596,"Negative","Technical Issues","Investigate technical issue","Issue","Can’t even launch the app. 

The error message just states:

“Sorry, something went wrong.” We're working on getting this fixed. Meanwhile, tap
on Try again to see if it works.”"
597,"Positive","Technical Issues","Thank user for feedback request more details","Feedback","I registered 1 month already but no already reply me"
598,"Negative","Technical Issues","Investigate Improve App Stability","Feedback","Very friendly and courteous staff"
599,"Positive","Technical Issues","Thank you for your feedback. Share feature ideas.","Feedback","I love how seamless and fuss-free the app is. Good job!"
